City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
156,Isangel,VU,77.16,broken clouds,-19.55,169.2667,Tanna Lodge
157,Lafia,NG,76.93,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
161,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
162,Namatanai,PG,85.93,broken clouds,-3.6667,152.4333,Namatanai Hotel
166,Dingle,PH,87.62,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
168,Roswell,US,76.78,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
173,Varkkallai,IN,80.38,overcast clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
181,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
184,Atuona,PF,80.2,scattered clouds,-9.8,-139.0333,Villa Enata
185,Kavaratti,IN,82.38,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
193,Biak,ID,81.05,overcast clouds,-0.9131,122.8766,Penginapan Kim
194,Tabas,IR,79.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
195,Jiexiu,CN,78.67,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
198,Hithadhoo,MV,83.61,scattered clouds,-0.6,73.0833,Scoop Guest House
211,Dayong,CN,89.28,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
214,Palauig,PH,87.1,broken clouds,15.435,119.9045,Myhousebythesea
218,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
219,Laguna,US,77.11,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
222,Brockville,CA,76.78,overcast clouds,44.5834,-75.6826,"Holiday Inn Express & Suites Brockville, an IHG Hotel"
224,Nishihara,JP,83.86,overcast clouds,26.1842,127.7558,Minshuku Agaihama
235,Lorengau,PG,87.13,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
236,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
240,Dumas,US,76.35,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
243,Ambulu,ID,81.73,few clouds,-8.345,113.6058,Hotel Ambulu Jember
247,Sabha,LY,80.15,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
249,Tautira,PF,86.02,clear sky,-17.7333,-149.15,Pension Oaoa
260,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
264,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
267,Kieta,PG,84.09,light rain,-6.2167,155.6333,Uruna Bay Retreat
274,Ixtapa,MX,79.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
280,Guanare,VE,80.62,scattered clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
287,Lasem,ID,83.57,few clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
290,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
291,Cabadiangan,PH,85.35,overcast clouds,9.7531,122.4739,Kipot
298,George Town,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
304,Pumiao,CN,88.2,clear sky,22.75,108.4833,Mushang Boutique Hotel
305,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
306,Soyo,AO,77.81,clear sky,-6.1349,12.3689,Hotel Mpampa
307,Marawi,PH,79.65,broken clouds,7.9986,124.2928,Derogongan Residence
308,Mahibadhoo,MV,84.06,overcast clouds,3.7833,72.9667,Omadhoo Inn
310,Wahpeton,US,84.42,scattered clouds,46.2652,-96.6059,Select Inn Breckenridge
311,Jiaohe,CN,75.43,scattered clouds,43.7286,127.3447,Home Inn Fashion Hotel
312,Sigli,ID,82.15,overcast clouds,5.3848,95.9609,Losmen Dua Mali
321,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
324,Wildwood,US,79.39,clear sky,38.5828,-90.6629,The Wildwood Hotel
333,Howard Springs,AU,87.82,few clouds,-12.497,131.047,buffalo beach hostel
334,La Asuncion,VE,80.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
342,Neiafu,TO,79.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
343,Ratnagiri,IN,83.68,broken clouds,16.9833,73.3,Hotel Landmark
344,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Raj's villa
345,Tubuala,PA,82.33,overcast clouds,9.5167,-79.0333,Río Nabagana
346,Nangong,CN,85.1,light rain,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
350,Mangan,IN,80.73,broken clouds,27.5167,88.5333,Hotel Mout View
352,Destin,US,77.97,scattered clouds,30.3935,-86.4958,Inn On Destin Harbor-Ascend Hotel Collection
357,Dwarka,IN,84.33,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
360,Fuerte Olimpo,PY,83.43,few clouds,-21.0415,-57.8738,Hospedaje DAMI
361,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
365,Haimen,CN,89.49,few clouds,23.1935,116.6142,Jinghao Business Hotel
372,Bengkulu,ID,75.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
373,Lincoln,US,77.16,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
374,Baghdad,IQ,89.46,scattered clouds,33.3406,44.4009,Baghdad Hotel
381,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
383,Mecca,SA,85.8,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
385,Qiongshan,CN,89.58,clear sky,20.0058,110.3542,Sun City Restaurant
386,Cockburn Town,TC,77.49,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
390,Sao Jose Da Coroa Grande,BR,77.22,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
393,Cap-Haitien,HT,77.38,overcast clouds,19.7578,-72.2042,Habitation Jouissant
398,Esna,EG,78.82,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
