City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Bathsheba,BB,13.2167,-59.5167,81.21,73,20,20.11,few clouds
182,Maraa,BR,-1.8333,-65.3667,73.98,97,13,2.46,few clouds
183,Klaksvik,FO,62.2266,-6.589,38.32,86,99,13.31,overcast clouds
184,Atuona,PF,-9.8,-139.0333,80.2,71,25,17.6,scattered clouds
185,Kavaratti,IN,10.5669,72.642,82.38,74,87,4.79,overcast clouds
186,Saldanha,ZA,-33.0117,17.9442,44.65,69,0,5.28,clear sky
187,Lavrentiya,RU,65.5833,-171.0,34.03,99,100,2.19,overcast clouds
188,Jalu,LY,29.0331,21.5482,68.72,42,0,11.54,clear sky
189,Rock Springs,US,41.5875,-109.2029,60.24,54,40,5.99,scattered clouds
190,Stornoway,GB,58.2093,-6.3865,49.93,87,20,5.75,few clouds
191,Vredendal,ZA,-31.6683,18.5012,52.57,71,0,3.42,clear sky
192,Hervey Bay,AU,-25.2986,152.8535,73.51,67,25,18.86,light rain
193,Biak,ID,-0.9131,122.8766,81.05,71,95,4.18,overcast clouds
194,Tabas,IR,33.5959,56.9244,79.02,18,3,4.16,clear sky
195,Jiexiu,CN,37.0244,111.9125,78.67,35,100,4.81,overcast clouds
196,Kaniama,CD,-7.5667,24.1833,64.6,61,41,4.43,scattered clouds
197,Saint George,US,37.1041,-113.5841,66.67,19,1,8.99,clear sky
198,Hithadhoo,MV,-0.6,73.0833,83.61,72,46,7.45,scattered clouds
199,Peace River,CA,56.2501,-117.286,66.51,42,20,7.23,few clouds
200,Grindavik,IS,63.8424,-22.4338,39.15,61,0,9.57,clear sky
201,Ada,US,43.4166,-116.1262,52.95,63,90,10.65,overcast clouds
202,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,40,15.7,scattered clouds
203,Snezhnogorsk,RU,69.1933,33.2531,33.58,99,100,24.67,light snow
204,Aljezur,PT,37.3191,-8.8033,56.41,83,74,14.47,broken clouds
205,Koroni,GR,36.8,21.95,51.51,69,0,2.82,clear sky
206,Ust-Kuyga,RU,70.0167,135.6,32.18,67,100,6.4,overcast clouds
207,Shitanjing,CN,39.2342,106.3439,54.39,25,100,29.68,overcast clouds
208,Lalibela,ET,12.0333,39.0333,60.89,32,43,6.71,scattered clouds
209,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,87,20,7.29,few clouds
210,Jamestown,US,42.097,-79.2353,71.24,62,1,8.05,clear sky
211,Dayong,CN,25.0209,118.2898,89.28,81,91,3.29,overcast clouds
212,Yulara,AU,-25.2406,130.9889,67.84,30,0,16.11,clear sky
213,Kaitangata,NZ,-46.2817,169.8464,56.93,56,11,6.06,few clouds
214,Palauig,PH,15.435,119.9045,87.1,67,73,7.76,broken clouds
215,Torbay,CA,47.6666,-52.7314,56.88,68,40,24.16,scattered clouds
216,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,67,100,9.55,overcast clouds
217,Blackwater,AU,-23.5833,148.8833,74.86,39,10,13.15,clear sky
218,Porto Novo,BJ,6.4965,2.6036,82.22,87,11,7.49,light rain
219,Laguna,US,38.421,-121.4238,77.11,46,20,8.97,few clouds
220,Tuatapere,NZ,-46.1333,167.6833,49.82,66,15,2.37,few clouds
221,Port Hardy,CA,50.6996,-127.4199,51.98,82,90,9.22,overcast clouds
222,Brockville,CA,44.5834,-75.6826,76.78,74,100,8.59,overcast clouds
223,Tortoli,IT,39.9256,9.6572,58.82,88,0,20.71,clear sky
224,Nishihara,JP,26.1842,127.7558,83.86,78,90,13.69,overcast clouds
225,Awjilah,LY,29.1081,21.2869,68.77,44,0,11.61,clear sky
226,George,ZA,-33.963,22.4617,45.95,81,0,4.61,clear sky
227,Goundam,ML,16.4145,-3.6708,91.33,28,9,12.33,clear sky
228,Roros,NO,62.5747,11.3842,31.84,93,90,1.14,overcast clouds
229,Yatou,CN,37.15,122.3833,71.2,57,0,14.18,clear sky
230,Saint-Pierre,RE,-21.3393,55.4781,71.28,65,20,9.22,few clouds
231,Aklavik,CA,68.2191,-135.0107,65.12,35,67,12.35,broken clouds
232,Pevek,RU,69.7008,170.3133,31.75,94,63,4.29,broken clouds
233,Izumo,JP,35.3667,132.7667,64.29,71,75,9.62,broken clouds
234,Le Port,RE,-20.9373,55.2919,71.6,71,88,2.26,overcast clouds
235,Lorengau,PG,-2.0226,147.2712,87.13,62,9,4.09,clear sky
236,Cayenne,GF,4.9333,-52.3333,77.09,90,90,4.0,overcast clouds
237,Severo-Kurilsk,RU,50.6789,156.125,40.87,77,23,13.31,few clouds
238,Ntoum,GA,0.3833,9.7833,74.97,98,100,2.57,light rain
239,Krasnotorka,UA,48.682,37.5327,52.74,87,87,7.49,light rain
240,Dumas,US,35.8656,-101.9732,76.35,60,1,20.71,clear sky
241,Naze,JP,28.3667,129.4833,68.92,83,100,17.52,light rain
242,Vao,NC,-22.6667,167.4833,71.89,70,9,16.22,clear sky
243,Ambulu,ID,-8.345,113.6058,81.73,73,12,1.79,few clouds
244,Baykit,RU,61.67,96.37,46.47,54,22,3.24,few clouds
245,Codrington,AU,-38.2667,141.9667,64.02,46,0,15.08,clear sky
246,Rafaela,AR,-31.2503,-61.4867,55.06,76,65,5.01,broken clouds
247,Sabha,LY,27.0377,14.4283,80.15,26,0,9.4,clear sky
248,Lannion,FR,48.75,-3.4167,48.67,93,75,13.8,broken clouds
249,Tautira,PF,-17.7333,-149.15,86.02,73,8,9.4,clear sky
250,Husavik,IS,66.0449,-17.3389,33.71,78,100,4.47,overcast clouds
251,Qaqortoq,GL,60.7167,-46.0333,34.3,87,100,8.41,overcast clouds
252,Mount Gambier,AU,-37.8333,140.7667,58.91,55,0,11.5,clear sky
253,Olga,RU,43.7444,135.2892,62.17,58,90,9.46,overcast clouds
254,Talara,PE,-4.5772,-81.2719,67.53,87,22,20.0,few clouds
255,Sandwick,GB,60.0,-1.25,40.82,70,20,17.2,few clouds
256,Shatki,RU,55.1887,44.1249,53.76,97,100,5.26,overcast clouds
257,Udachnyy,RU,66.4167,112.4,32.88,92,57,3.65,broken clouds
258,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.52,91,6,7.2,clear sky
259,Santa Rosa,PH,14.3122,121.1114,91.38,59,22,4.45,few clouds
260,Nanakuli,US,21.3906,-158.1547,84.15,68,75,13.31,broken clouds
261,Central Point,US,42.376,-122.9164,61.18,45,1,7.0,clear sky
262,Camacupa,AO,-12.0167,17.4833,53.69,63,6,3.04,clear sky
263,Finnsnes,NO,69.2296,17.9811,39.81,79,71,5.3,broken clouds
264,Port Hedland,AU,-20.3167,118.5667,82.45,17,0,17.27,clear sky
265,Cap Malheureux,MU,-19.9842,57.6142,70.29,61,28,19.98,scattered clouds
266,Treinta Y Tres,UY,-33.2333,-54.3833,58.39,92,100,23.15,overcast clouds
267,Kieta,PG,-6.2167,155.6333,84.09,77,36,2.48,light rain
268,Saint-Augustin,CA,51.226,-58.6502,43.2,92,100,9.22,overcast clouds
269,Hasaki,JP,35.7333,140.8333,68.4,82,100,18.7,moderate rain
270,Perigueux,FR,45.1833,0.7167,49.62,98,65,3.87,broken clouds
271,Thanh Hoa,VN,19.8,105.7667,93.85,52,60,6.29,broken clouds
272,Shimoda,JP,34.6667,138.95,69.17,81,100,18.12,light rain
273,New Norfolk,AU,-42.7826,147.0587,60.93,61,4,1.99,clear sky
274,Ixtapa,MX,20.7,-105.2,79.83,69,1,11.5,clear sky
275,Syracuse,IT,37.0881,15.2792,63.43,56,52,8.9,broken clouds
276,Hovd,MN,48.0056,91.6419,39.11,27,94,2.28,overcast clouds
277,Hailar,CN,49.2,119.7,60.01,54,100,9.4,overcast clouds
278,Oranjemund,NA,-28.55,16.4333,55.45,76,0,7.72,clear sky
279,Waipawa,NZ,-41.4122,175.5153,57.04,68,100,6.71,overcast clouds
280,Guanare,VE,9.0418,-69.7421,80.62,83,45,4.61,scattered clouds
281,Wattegama,LK,6.7989,81.4808,77.92,79,99,7.76,overcast clouds
282,Buin,CL,-33.7333,-70.75,54.73,66,84,3.91,broken clouds
283,Omboue,GA,-1.5746,9.2618,74.91,96,100,7.43,moderate rain
284,Shubarshi,KZ,48.5872,57.1869,67.57,59,56,6.82,broken clouds
285,Port-Cartier,CA,50.0334,-66.8654,50.94,92,100,8.93,overcast clouds
286,Kitui,KE,-1.367,38.0106,61.36,90,99,6.44,overcast clouds
287,Lasem,ID,-6.6922,111.4527,83.57,71,17,4.65,few clouds
288,Lubumbashi,CD,-11.6609,27.4794,51.21,83,2,2.35,clear sky
289,Kaabong,UG,3.4836,34.1492,64.78,74,15,7.02,few clouds
290,Hambantota,LK,6.1241,81.1185,79.14,78,75,16.24,light rain
291,Cabadiangan,PH,9.7531,122.4739,85.35,67,100,5.66,overcast clouds
292,Avera,US,33.194,-82.5271,76.66,49,4,8.14,clear sky
293,Paamiut,GL,61.994,-49.6678,33.21,90,100,30.78,overcast clouds
294,Marsabit,KE,2.3284,37.9899,61.23,85,94,14.38,overcast clouds
295,Spirit River,CA,55.7833,-118.8361,64.92,42,0,9.84,clear sky
296,Vikhorevka,RU,56.1201,101.1636,47.79,44,95,6.67,overcast clouds
297,Smithers,CA,54.7804,-127.1743,66.52,18,75,10.36,broken clouds
298,George Town,MY,5.4112,100.3354,82.33,82,20,4.61,few clouds
299,Makueni,KE,-1.8041,37.6203,61.77,88,100,1.74,overcast clouds
300,Coquimbo,CL,-29.9533,-71.3436,55.13,74,0,4.85,clear sky
301,Baile Herculane,RO,44.8797,22.4125,51.19,79,100,2.93,overcast clouds
302,Koslan,RU,63.4564,48.8989,56.3,84,84,10.8,broken clouds
303,Hualmay,PE,-11.0964,-77.6139,63.55,87,49,9.22,scattered clouds
304,Pumiao,CN,22.75,108.4833,88.2,62,10,15.37,clear sky
305,Georgetown,MY,5.4112,100.3354,82.33,82,20,4.61,few clouds
306,Soyo,AO,-6.1349,12.3689,77.81,84,2,2.84,clear sky
